brand,category-1,category-2,category-3,co2_total,colour,fabric_type,ftp_acrylic,ftp_cotton,ftp_elastane,ftp_linen,ftp_other,ftp_polyamide,ftp_polyester,ftp_polypropylene,ftp_silk,ftp_viscose,ftp_wool,gender,label,made_in,season,size,unspsc_code,weight
b66,clothing,outerwear,coats,157.11,gray,K,12.0,40.0,11.0,11.0,3.0,,3.0,4.0,,12.0,,W,,US,MID,S,,
b66,womenswear,costume,coats,25.99,mustard,W,,37.0,6.0,13.0,1.0,,14.0,8.0,,8.0,10.0,W,,CN,SUM,L,,
b17,menswear,outerwear,gloves,9.25,turquoise,K,,12.0,,,6.0,10.0,10.0,1.0,,1.0,57.0,M,,PK,MID,L,,
b112,home,home,towel,21.85,white,K,,,,91.0,,5.0,,3.0,,,,,,HK,,M,,
b64,baby,nightwear,pyjama,19.16,yellow,K,,15.0,13.0,7.0,,35.0,5.0,1.0,3.0,17.0,,,,TW,,XL,,
b89,womenswear,suit,pants,0.75,mosaic,W,,51.0,,11.0,,7.0,7.0,9.0,3.0,9.0,,W,,CN,,L,,
b131,womenswear,clothing,hoodie,31.77,violet,K,,,2.0,,,,1.0,4.0,4.0,,86.0,W,,US,,XL,,
b17,baby,thermals,long-sleeved-top,1.73,light grey,K,5.0,3.0,,4.0,,,62.0,7.0,5.0,7.0,4.0,,,CN,,XL,,
b23,home,home,sheets,34.01,pink,K,16.0,,,,3.0,,9.0,23.0,31.0,15.0,,,,IT,,S,,0.7659999999999999
b124,home,home,curtain,29.07,silver,K,12.0,1.0,8.0,51.0,14.0,,,2.0,9.0,,,,,TW,,XL,,0.9840000000000001
b64,womenswear,costume,coats,36.63,maroon,K,6.0,8.0,7.0,3.0,,6.0,60.0,,7.0,1.0,,W,,DE,SUM,XXL,,
b17,kidswear,undergarments,briefs,1.34,pink,K,15.0,,,56.0,,,13.0,15.0,,,,Y,,CN,,L,,
b131,clothing,uniform,trousers,13.69,unbleached,W,,,,,,,95.0,,,,,G,,CN,MID,L,,0.644
b124,menswear,sportswear,top,2.64,indigo,K,18.0,,,,,22.0,53.0,,,5.0,,M,,CN,,L,,0.09699999999999999
b103,menswear,uniform,gloves,4.15,light brown,K,,11.0,,18.0,,31.0,,20.0,17.0,,2.0,M,,CN,AYR,L,,0.17300000000000001
b124,home,home,mat,99.79,orange,W,2.0,,4.0,10.0,,,6.0,,65.0,,11.0,,,CN,,XXL,,
b76,womenswear,women-undergarments,bra,2.0,gray,K,4.0,2.0,,85.0,,2.0,1.0,3.0,,,,W,,BD,,XL,,0.077
b112,clothing,uniform,jacket,8.99,mosaic,W,6.0,,,6.0,11.0,,40.0,15.0,,3.0,16.0,Y,,CN,,XL,,0.35200000000000004
b76,kidswear,nightwear,pyjama,20.19,purple,K,,,,5.0,,42.0,14.0,,10.0,12.0,14.0,G,,TR,,L,,
b66,womenswear,women-undergarments,panties,0.42,lime,K,,,,1.0,1.0,1.0,95.0,,,,,W,,CN,,M,,
b89,clothing,outerwear,trousers,3.89,unbleached,K,,,,96.0,,1.0,,,,,,B,,CN,SUM,L,,
b142,menswear,swimwear,swimsuit,3.89,blue,K,,,,55.0,16.0,12.0,15.0,,,,,M,,TW,,XXL,,
b76,womenswear,women-beachwear,bikin,4.68,natural,K,,,1.0,,,97.0,,1.0,,,,W,,PK,SUM,XS,,
b89,menswear,undergarments,underpants,0.99,purple,K,6.0,3.0,11.0,7.0,,1.0,1.0,2.0,9.0,,57.0,M,,CN,,L,,0.024
b95,kidswear,accessory,backpack,48.89,natural,W,,,17.0,,,,,,8.0,,74.0,Y,,VN,,M,,0.645
b103,womenswear,thermals,trousers,19.84,indigo,W,2.0,8.0,6.0,11.0,8.0,,8.0,6.0,46.0,1.0,,W,,CN,SUM,XL,,0.8690000000000001
b125,clothing,costume,jacket,28.55,mosaic,K,,99.0,,,,,,,,,,B,,US,,L,,0.583
b86,clothing,sportswear,gloves,1.78,violet,W,26.0,,,,21.0,11.0,40.0,,,,,Y,,CN,AYR,S,,0.075
b23,home,home,curtain,20.0,unknown,W,3.0,,3.0,,,1.0,1.0,1.0,88.0,1.0,,,,DE,,S,,
b16,baby,outerwear,pants,0.63,golden,K,,,2.0,89.0,,,2.0,1.0,,2.0,1.0,,,US,,XL,,
b131,home,home,curtain,8.7,mosaic,K,3.0,,,3.0,2.0,82.0,3.0,4.0,,,,,,US,,M,,
b112,womenswear,home,sheets,10.07,colourful,W,1.0,,,94.0,1.0,,2.0,,,,,W,,DE,,S,,
b95,baby,nightwear,pyjama,37.07,black,K,5.0,13.0,,,,,9.0,,,,71.0,,,IT,,XL,,0.49
b95,baby,thermals,trousers,21.85,aquamarine,K,,,,,,,,13.0,73.0,,13.0,,,CN,WIN,XS,,
b17,baby,thermals,knitwear,7.65,blue,K,,,,,,,99.0,,,,,,,CN,WIN,S,,
b86,kidswear,suit,tie,0.98,unknown,K,10.0,,9.0,,2.0,,2.0,7.0,,12.0,54.0,B,,CN,,L,,0.023
b103,menswear,men-undergarments,boxer-brief,2.42,Ivory,K,,,,93.0,1.0,1.0,,1.0,1.0,,,M,,BD,,S,,0.106
b76,clothing,clothing,pants,1.27,brown,W,,46.0,4.0,11.0,,,,5.0,14.0,18.0,,G,,US,,L,,
b131,baby,outerwear,pants,1.18,violet,K,,,,,4.0,,2.0,3.0,,4.0,84.0,,,CN,,L,,0.025
b124,kidswear,costume,jacket,79.65,red,W,,47.0,,,1.0,1.0,,25.0,,,24.0,B,,TR,,M,,
b124,menswear,nightwear,pyjama,10.85,mustard,K,2.0,,,,8.0,,,,81.0,6.0,,M,,CN,,XXL,,
b95,womenswear,headgear,cap,3.75,gold,K,,,,5.0,3.0,,7.0,,67.0,7.0,8.0,W,,TW,,XS,,0.084
b131,womenswear,thermals,pants,0.83,green,W,9.0,,7.0,12.0,4.0,,3.0,1.0,8.0,12.0,40.0,W,,CN,,L,,
b95,home,home,towel,12.91,dark grey,K,,51.0,,,,12.0,,5.0,13.0,11.0,5.0,,,CN,,XL,,0.433
b103,kidswear,swimwear,swimsuit,1.79,wheat,K,,,,89.0,,,1.0,5.0,,3.0,,Y,,PK,,S,,
b103,clothing,headgear,knit-cap,2.48,metal,K,13.0,,2.0,8.0,13.0,1.0,40.0,6.0,4.0,9.0,,Y,,TH,,L,,0.069
b86,baby,nightwear,pyjama,12.19,pink,K,,,,6.0,,7.0,73.0,,,5.0,6.0,,,DE,,XS,,
b76,baby,baby,body,1.23,indigo,K,2.0,1.0,1.0,3.0,,,,,,2.0,87.0,,,CN,,XS,,0.025
b64,clothing,suit,pants,0.49,blue gray,W,,14.0,7.0,,22.0,56.0,,,,,,K,,CN,,S,,0.023
b17,home,home,sheets,21.85,mustard,K,6.0,,,65.0,9.0,,,11.0,,1.0,6.0,,,CN,,M,,
b103,kidswear,uniform,gloves,4.76,wheat,K,7.0,,,,,,1.0,4.0,,7.0,77.0,B,,CN,SUM,XXL,,
b66,kidswear,clothing,pants,0.5,peach,K,,75.0,1.0,1.0,5.0,,,4.0,7.0,5.0,,B,,CN,,XS,,0.018000000000000002
b95,womenswear,dress,dress,6.61,aquamarine,K,,12.0,1.0,13.0,,,12.0,,46.0,13.0,,W,,US,,XXL,,0.16
b86,home,home,curtain,8.98,neon,W,2.0,,4.0,1.0,,,1.0,2.0,86.0,2.0,,,,CN,,S,,
b67,baby,baby,body,0.72,blue,K,5.0,,10.0,1.0,11.0,10.0,54.0,1.0,5.0,,,,,HK,,XL,,
b64,clothing,costume,trousers,36.73,yellow,W,4.0,,,,4.0,81.0,,5.0,,2.0,,K,,US,MID,S,,
b66,kidswear,undergarments,brief,1.68,green,K,3.0,78.0,,5.0,,,,1.0,6.0,6.0,,Y,,CN,,M,,
b124,menswear,thermals,skirts,11.64,metal,K,9.0,,6.0,15.0,,8.0,,,15.0,,44.0,M,,CN,,XS,,0.307
b103,baby,baby,body,0.31,purple,K,,,16.0,4.0,2.0,,50.0,,4.0,11.0,10.0,,,CN,,XL,,0.012
b64,kidswear,outerwear,trousers,8.63,maroon,W,,2.0,10.0,9.0,4.0,4.0,2.0,2.0,53.0,4.0,4.0,G,,CN,SUM,S,,
b86,clothing,dress,fancy-dress,18.36,gold,K,6.0,2.0,,2.0,,59.0,3.0,2.0,2.0,10.0,10.0,Y,,CN,,XXL,,
b66,kidswear,beachwear,swimsuit,3.6,natural,K,,,43.0,,,57.0,,,,,,G,,TW,,XS,,
b76,baby,baby,body,0.49,red,K,,,1.0,11.0,16.0,,17.0,,19.0,,34.0,,,CN,,S,,0.016
b64,clothing,clothing,knitwear,45.57,light grey,K,,87.0,,,,4.0,,3.0,2.0,1.0,1.0,B,,TW,WIN,M,,0.9490000000000001
b64,menswear,sportswear,gloves,11.71,purple,K,23.0,,,,30.0,,33.0,12.0,,,,M,,DE,WIN,XS,,
b16,womenswear,uniform,costume,13.02,lime,W,,5.0,,12.0,,43.0,,8.0,,13.0,17.0,W,,CN,,M,,
b103,kidswear,accessory,backpack,25.64,golden,K,6.0,13.0,,,,9.0,31.0,,18.0,10.0,10.0,K,,CN,,L,,
b95,kidswear,footwear,socks,0.65,white,K,2.0,7.0,5.0,3.0,4.0,,64.0,4.0,8.0,,,B,,CN,,XL,,0.028999999999999998
b76,womenswear,sportswear,hoodie,8.08,red,K,,,,4.0,9.0,59.0,19.0,7.0,,,,W,,TR,,XS,,
b23,home,home,towel,36.15,dark grey,K,,94.0,1.0,,,,1.0,1.0,,,,,,VN,,XXL,,0.76
b67,menswear,home,sheets,73.64,yellow,K,1.0,,,,,,,1.0,,,97.0,M,,CN,,L,,1.3769999999999998
b125,womenswear,swimwear,swimsuit,3.3,blue gray,K,5.0,,9.0,,8.0,15.0,59.0,,,2.0,,W,,CN,,XL,,0.146
b66,home,home,mat,66.77,bondi blue,W,8.0,,6.0,,,10.0,60.0,,6.0,8.0,,,,DE,,M,,
b67,menswear,uniform,costume,51.86,violet,K,4.0,7.0,,7.0,10.0,,8.0,,61.0,,,M,,ES,,L,,1.345
b86,menswear,outerwear,coats,23.74,amber,W,13.0,,,,,12.0,13.0,13.0,,11.0,35.0,M,,CN,SUM,XS,,0.638
b142,womenswear,suit,tie,1.37,purple,K,,80.0,3.0,,2.0,3.0,1.0,4.0,,3.0,,W,,DE,,S,,0.03
b64,baby,footwear,socks,0.71,silver,K,1.0,,,,,,97.0,,,,,,,CN,,XL,,
b124,clothing,footwear,socks,0.63,pink,K,,50.0,,9.0,8.0,9.0,1.0,,4.0,10.0,3.0,B,,CN,,XL,,
b131,baby,outerwear,jacket,98.22,silver,W,,7.0,10.0,9.0,,5.0,,5.0,,,60.0,,,DE,,L,,
b86,menswear,clothing,jeans,21.89,green,W,11.0,,11.0,,1.0,,2.0,,63.0,,10.0,M,,US,,L,,0.436
b101,kidswear,suit,trousers,11.06,gold,K,10.0,2.0,,51.0,10.0,6.0,,11.0,,7.0,,B,,VN,AYR,XXL,,0.364
b142,womenswear,dress,evening-dress,17.81,mosaic,K,7.0,9.0,,,,,58.0,,4.0,,21.0,W,,CN,,XXL,,
b124,baby,outerwear,jacket,7.97,dark grey,K,,,,,,99.0,,,,,,,,CN,,M,,
b76,womenswear,women-sportswear,sport-bra,1.49,natural,K,12.0,,17.0,33.0,8.0,,7.0,1.0,,18.0,,W,,CN,,M,,0.066
b23,home,home,towel,10.23,amber,W,10.0,55.0,5.0,1.0,2.0,5.0,,6.0,,8.0,3.0,,,CN,,XL,,0.345
b112,kidswear,outerwear,trousers,9.87,gold,W,4.0,,5.0,,3.0,64.0,,12.0,10.0,,,K,,CN,AYR,XS,,
b112,menswear,accessory,backpack,41.02,light brown,W,,2.0,10.0,,17.0,5.0,,3.0,,,61.0,M,,CN,,XXL,,
b67,menswear,accessory,backpack,53.44,lime,K,,,,,,99.0,,,,,,M,,TW,,S,,
b66,clothing,uniform,trousers,35.56,navy,K,,100.0,,,,,,,,,,Y,,CN,WIN,M,,
b23,menswear,sportswear,top,2.11,Ivory,K,7.0,,,6.0,,11.0,65.0,,,8.0,,M,,CN,,XS,,
b86,menswear,nightwear,pyjama,7.4,lime,K,,,,,,2.0,,,,,97.0,M,,CN,,XS,,
b103,kidswear,outerwear,pants,0.59,yellow,K,,88.0,,2.0,,2.0,,2.0,1.0,2.0,,K,,CN,,L,,
b67,home,home,sheets,38.34,unknown,K,,99.0,,,,,,,,,,,,CN,,XL,,1.264
b95,menswear,clothing,top,3.62,pink,K,,,,3.0,,4.0,77.0,2.0,5.0,3.0,3.0,M,,DE,,S,,
b112,baby,thermals,long-sleeved-top,3.63,wheat,K,,91.0,,1.0,,3.0,,,,3.0,,,,DE,,M,,
b17,baby,thermals,pants,0.75,black,W,,1.0,,2.0,1.0,1.0,2.0,1.0,2.0,2.0,84.0,,,CN,,XS,,
b101,clothing,footwear,socks,0.62,red,K,6.0,,,49.0,,,10.0,9.0,,15.0,7.0,B,,US,,M,,
b103,menswear,home,pillow,7.5,dark grey,K,8.0,43.0,5.0,,,,14.0,4.0,10.0,,13.0,M,,CN,,XL,,0.235
b67,womenswear,outerwear,jacket,66.69,dark grey,K,7.0,,,6.0,10.0,,2.0,,,,72.0,W,,CN,,M,,1.5190000000000001
b142,kidswear,thermals,trousers,16.49,white,K,,3.0,5.0,78.0,,3.0,,,10.0,,,Y,,TR,SUM,S,,
b131,home,home,sheets,41.94,peach,K,3.0,72.0,,5.0,,6.0,7.0,,,2.0,2.0,,,KR,,S,,
b66,clothing,undergarments,briefs,2.12,purple,K,,,,,,,98.0,,,,,B,,CN,,M,,0.09699999999999999
b17,kidswear,sportswear,gloves,11.1,white,W,,,2.0,,,,92.0,2.0,,,,K,,MX,WIN,M,,
b125,home,home,mat,89.51,wheat,K,,67.0,5.0,6.0,5.0,7.0,,4.0,,4.0,,,,KR,,M,,2.068
b67,kidswear,suit,tie,0.38,unbleached,K,10.0,7.0,3.0,13.0,7.0,,,10.0,36.0,,10.0,G,,CN,,XXL,,
b125,kidswear,nightwear,pyjama,5.21,silver,K,3.0,,1.0,3.0,,14.0,49.0,14.0,,,12.0,B,,TR,,XL,,
b76,menswear,headgear,scarf,5.47,neon,K,19.0,13.0,3.0,1.0,3.0,5.0,,11.0,,9.0,32.0,M,,KR,MID,S,,
b23,kidswear,costume,dress,6.81,blue gray,K,,,,8.0,,56.0,3.0,12.0,,11.0,7.0,K,,CN,,M,,
b17,womenswear,women-undergarments,panties,1.69,wheat,K,15.0,,16.0,,,39.0,,,,18.0,11.0,W,,VN,,M,,
b112,womenswear,women-sportswear,sport-bra,1.42,metal,K,,,1.0,,,92.0,2.0,1.0,,2.0,,W,,CN,,L,,0.055
b86,kidswear,thermals,trousers,36.09,yellow,W,,89.0,,1.0,,2.0,,,1.0,4.0,,G,,US,MID,XL,,0.757
b89,home,home,curtain,36.9,navy,K,,67.0,2.0,1.0,5.0,7.0,,,5.0,1.0,8.0,,,TW,,L,,
b66,baby,footwear,socks,0.54,bondi blue,K,2.0,77.0,4.0,,9.0,,6.0,,,,,,,CN,,XL,,
b23,clothing,costume,trousers,12.97,golden,K,,,,,,3.0,,,91.0,1.0,4.0,W,,CN,AYR,XL,,
b23,menswear,footwear,socks,0.65,silver,K,13.0,,11.0,44.0,,,,17.0,4.0,,8.0,M,,CN,,XXL,,
b142,kidswear,nightwear,pyjama,17.74,silver,K,11.0,,,,5.0,3.0,63.0,,,6.0,9.0,B,,CN,,XXL,,
b67,womenswear,costume,jacket,69.19,mustard,K,4.0,,2.0,6.0,,2.0,78.0,4.0,,,1.0,W,,LT,,XXL,,
b67,womenswear,outerwear,pants,0.71,colourful,W,8.0,,9.0,8.0,,,71.0,1.0,1.0,,,W,,CN,,XXL,,0.03
b67,home,home,pillow,4.07,natural,K,,,,52.0,,7.0,,,20.0,19.0,,,,CN,,XXL,,0.191
b89,home,home,towel,33.04,white,K,5.0,76.0,,1.0,,6.0,5.0,1.0,,3.0,,,,DE,,L,,
b76,clothing,uniform,jacket,10.62,dark green,W,,,,,5.0,12.0,,6.0,72.0,4.0,,K,,CN,,XL,,
b17,baby,thermals,knitwear,4.94,mustard,K,2.0,,5.0,79.0,2.0,,,,3.0,2.0,3.0,,,CN,WIN,S,,
b23,baby,baby,body,0.71,dark grey,K,,,1.0,2.0,,1.0,91.0,,1.0,,,,,CN,,XL,,
b124,menswear,clothing,jeans,8.41,grey,W,,,,,,99.0,,,,,,M,,CN,,XS,,0.324
b124,clothing,clothing,skirts,8.21,gray,K,,,,,,,,,99.0,,,K,,CN,,XXL,,
b131,baby,baby,body,0.44,mustard,K,1.0,,,,,,95.0,,,,1.0,,,CN,,M,,0.02
b125,menswear,swimwear,swimsuit,4.32,neon,K,,,9.0,42.0,16.0,16.0,,16.0,,,,M,,DE,,XXL,,
b142,womenswear,uniform,trousers,23.87,maroon,K,14.0,13.0,15.0,,10.0,,36.0,,9.0,,,W,,CN,MID,S,,
b101,clothing,undergarments,brief,4.24,green,K,,2.0,10.0,,4.0,9.0,,2.0,60.0,,9.0,B,,KR,,L,,
b67,home,home,pillow,6.7,yellow,K,,53.0,26.0,2.0,,,,,11.0,,5.0,,,HK,,XS,,
b103,clothing,accessory,backpack,22.87,lime,W,1.0,89.0,,,,,3.0,1.0,1.0,,2.0,Y,,DE,,XL,,
b125,kidswear,headgear,flat-cap,5.38,unknown,K,5.0,,5.0,6.0,4.0,5.0,3.0,,,2.0,67.0,B,,US,,M,,
b124,clothing,undergarments,underpants,0.76,dark green,K,,75.0,25.0,,,,,,,,,U,,CN,,S,,
b66,womenswear,costume,dress,13.68,light brown,K,8.0,40.0,,,11.0,5.0,8.0,11.0,12.0,1.0,,W,,DE,,L,,
b95,home,home,pillow,4.94,amber,W,,,,,5.0,76.0,,,,6.0,11.0,,,CN,,XL,,
b86,baby,thermals,pants,1.31,teal,W,,4.0,,,,91.0,1.0,,,1.0,,,,PK,,L,,
b125,baby,nightwear,pyjama,6.24,metal,K,1.0,7.0,4.0,73.0,,,8.0,,1.0,3.0,,,,DE,,XL,,
b67,baby,thermals,trousers,17.9,blue,W,7.0,56.0,,,11.0,9.0,11.0,,,,2.0,,,CN,SUM,M,,
b103,home,home,mat,140.36,Ivory,K,,,,,,,,,,,99.0,,,CN,,XL,,
b112,womenswear,thermals,long-sleeved-top,1.53,light brown,K,,3.0,3.0,77.0,4.0,,5.0,,,2.0,3.0,W,,CN,,L,,
b131,baby,outerwear,coats,66.18,blue gray,K,1.0,71.0,5.0,5.0,,,,5.0,5.0,4.0,,,,CN,AYR,L,,
b125,womenswear,women-sportswear,sport-bra,1.08,grey,K,,,14.0,10.0,,7.0,47.0,12.0,,7.0,,W,,CN,,L,,
b124,baby,outerwear,jacket,31.5,turquoise,W,2.0,6.0,,,3.0,14.0,38.0,,15.0,19.0,,,,CN,,XXL,,
b95,menswear,nightwear,pyjama,11.08,turquoise,K,,45.0,4.0,12.0,13.0,,,12.0,,,12.0,M,,DE,,L,,
b103,menswear,undergarments,briefs,1.67,black,K,,,,,,,99.0,,,,,M,,CN,,XS,,0.075
b103,womenswear,footwear,socks,0.89,black,K,,59.0,11.0,,8.0,20.0,,,,,,W,,CN,,XXL,,0.034
b66,home,home,sheets,11.81,white,K,,,,,10.0,53.0,36.0,,,,,,,CN,,S,,
b17,menswear,sportswear,coats,38.33,light grey,W,,,,,15.0,,79.0,,,5.0,,M,,CN,AYR,XL,,
b17,home,home,mat,73.0,teal,W,1.0,5.0,,2.0,,,,4.0,,5.0,81.0,,,CN,,XXL,,
b89,home,home,pillow,9.26,wheat,W,,6.0,2.0,,4.0,77.0,1.0,,5.0,1.0,,,,TW,,XXL,,
b124,womenswear,suit,tie,0.34,brown,K,,5.0,,7.0,3.0,1.0,81.0,,,1.0,,W,,CN,,XL,,
b112,menswear,thermals,long-sleeved-top,1.95,neon,K,,,,1.0,,,,,95.0,,,M,,CN,,XS,,
b89,clothing,headgear,scarf,4.05,bondi blue,K,8.0,75.0,,,,,,3.0,5.0,,7.0,B,,KR,SUM,XS,,0.078
b64,womenswear,women-undergarments,panties,0.82,yellow,K,,,,,,95.0,,,1.0,,,W,,TR,,S,,0.02
b23,menswear,swimwear,swimsuit,2.46,mustard,K,7.0,,9.0,,18.0,19.0,38.0,,,6.0,,M,,CN,,S,,
b23,clothing,accessory,backpack,12.45,metal,K,2.0,9.0,9.0,62.0,,,,,9.0,,6.0,K,,CN,,XS,,
b103,baby,outerwear,pants,0.95,lime,K,,,,,3.0,3.0,87.0,,3.0,1.0,,,,IN,,M,,0.027999999999999997
b101,home,home,curtain,12.68,blue,W,,17.0,16.0,7.0,,51.0,,,,,6.0,,,CN,,L,,
b76,home,home,sheets,26.1,grey,K,,7.0,8.0,,7.0,36.0,15.0,12.0,8.0,,4.0,,,CN,,M,,1.084
b142,baby,baby,body,0.65,yellow,K,,8.0,,,9.0,10.0,,3.0,41.0,12.0,15.0,,,PK,,XS,,
b66,menswear,thermals,skirts,27.42,light brown,K,1.0,1.0,,1.0,1.0,,,1.0,1.0,,89.0,M,,IN,,L,,
b86,kidswear,suit,gloves,10.42,gray,W,13.0,,7.0,2.0,15.0,,49.0,,3.0,,7.0,B,,BE,WIN,S,,0.271
b103,home,home,sheets,28.43,indigo,K,,,4.0,68.0,8.0,5.0,2.0,,,10.0,,,,DE,,S,,1.09
b125,menswear,uniform,costume,14.74,gold,K,,,,4.0,3.0,5.0,,5.0,72.0,7.0,,M,,CN,,L,,0.5820000000000001
b66,kidswear,beachwear,shorts,3.76,dark grey,K,,,2.0,1.0,1.0,14.0,44.0,20.0,,16.0,,G,,US,SUM,XL,,
b142,baby,nightwear,pyjama,16.74,orange,K,,5.0,4.0,8.0,,13.0,40.0,11.0,9.0,3.0,3.0,,,TW,,XS,,
b112,menswear,thermals,skirts,8.33,maroon,K,3.0,2.0,,,,,1.0,,87.0,,5.0,M,,CN,,M,,
b66,home,home,sheets,37.38,golden,W,12.0,,,51.0,,,,,17.0,18.0,,,,TR,,XXL,,0.9890000000000001
b23,clothing,headgear,flat-cap,5.64,gray,K,32.0,,3.0,,,9.0,13.0,,,1.0,40.0,G,,CN,,XXL,,
b64,menswear,outerwear,trousers,9.39,gold,K,5.0,,9.0,,17.0,6.0,12.0,15.0,32.0,,,M,,HK,SUM,XS,,0.275
b124,kidswear,nightwear,pyjama,12.12,blue gray,K,,38.0,,22.0,,11.0,7.0,,,19.0,,K,,PK,,XXL,,
b103,menswear,thermals,pants,0.76,purple,W,8.0,4.0,,76.0,,,,5.0,1.0,,4.0,M,,US,,L,,0.024
b89,kidswear,dress,dress,4.94,turquoise,K,3.0,1.0,,74.0,5.0,2.0,3.0,,,3.0,5.0,K,,CN,,XS,,
b103,womenswear,beachwear,shorts,7.47,pink,K,10.0,,12.0,58.0,,,,,,18.0,,W,,DK,SUM,XS,,
b112,menswear,outerwear,gloves,10.56,dark grey,W,,,,,,,34.0,,20.0,,45.0,M,,HK,SUM,XL,,
b131,womenswear,undergarments,underpants,1.26,grey,K,,2.0,11.0,,15.0,11.0,1.0,,,15.0,42.0,W,,CN,,XXL,,0.036000000000000004
b86,womenswear,nightwear,pyjama,9.28,purple,K,3.0,2.0,5.0,1.0,7.0,6.0,68.0,,2.0,1.0,1.0,W,,DE,,L,,
b67,home,home,curtain,21.54,golden,W,,10.0,2.0,13.0,,53.0,4.0,16.0,,,,,,KR,,M,,
b76,clothing,dress,fancy-dress,12.7,neon,K,3.0,1.0,1.0,,2.0,84.0,1.0,,,,3.0,W,,AU,,XS,,0.305
b101,womenswear,swimwear,swimsuit,3.56,blue,K,,,26.0,,26.0,,41.0,5.0,,,,W,,DE,,XL,,
b86,baby,baby,body,0.57,silver,K,,7.0,10.0,77.0,,4.0,,,,,,,,CN,,XL,,0.034
b142,clothing,swimwear,swimsuit,2.06,bondi blue,K,,,10.0,9.0,7.0,8.0,52.0,8.0,,3.0,,G,,CN,,XS,,0.10099999999999999
b64,baby,footwear,socks,1.17,light brown,K,23.0,52.0,,,,,,,18.0,,6.0,,,BD,,L,,
b76,home,home,pillow,4.75,lime,W,10.0,,,6.0,,,55.0,,9.0,,18.0,,,CN,,XL,,
b64,womenswear,clothing,gloves,15.08,golden,W,,,,,13.0,,6.0,17.0,43.0,,19.0,W,,TW,WIN,L,,
b103,womenswear,suit,tie,0.22,grey,K,,,,96.0,,,,,,,,W,,CN,,M,,
b86,womenswear,undergarments,underpants,1.05,gray,K,1.0,8.0,,,3.0,,,4.0,73.0,,7.0,W,,TR,,M,,0.023
b142,menswear,swimwear,swimsuit,3.59,brown,K,,,2.0,,2.0,90.0,2.0,2.0,,,,M,,CN,,M,,0.14300000000000002
b101,kidswear,beachwear,swimsuit,2.0,mustard,K,,,3.0,72.0,1.0,12.0,,,,9.0,,G,,CN,,XL,,
b23,baby,baby,body,1.0,natural,K,7.0,,,10.0,5.0,2.0,1.0,,6.0,,65.0,,,CN,,L,,
b95,womenswear,home,sheets,27.45,gray,W,3.0,,11.0,,14.0,,1.0,2.0,49.0,4.0,13.0,W,,CN,,S,,
b142,baby,outerwear,pants,0.49,dark green,W,,,1.0,,,87.0,,2.0,4.0,,4.0,,,CN,,M,,
b124,baby,thermals,knitwear,23.9,natural,K,5.0,,3.0,3.0,4.0,61.0,,5.0,5.0,4.0,6.0,,,CN,AYR,L,,
b131,womenswear,dress,fancy-dress,23.53,blue gray,K,2.0,2.0,11.0,11.0,,70.0,,,,1.0,,W,,CN,,XXL,,
b125,home,home,sheets,21.28,dark green,K,,,,,5.0,86.0,3.0,,,5.0,,,,CN,,XXL,,
b64,home,home,curtain,19.28,teal,W,,31.0,,21.0,10.0,,14.0,,,,22.0,,,CN,,XXL,,
b76,menswear,clothing,trousers,24.04,turquoise,K,,1.0,1.0,1.0,,93.0,,1.0,,,,M,,CN,MID,L,,
